Institution name,Region,Institution type,Medical Dep,Sociology,Agri Dep,Business dep,Collaboration with in-country decision makers, current relationship/partnership with government,past relationship/partnership with government or current relationship with other major research instititions,"no govt collaboration, no current partnerships with other major research institutions ",information is not readily available online,Existing public health research capacity,Strength of capacity building efforts (especially for women),Adminstrative capacity to manage large grants,Total Score of 4 Criteria,Number of awards ,National centers for excellence,PI awards form top WHO list,African union award ,Overall award score,Specialized research lab,Specific library to students,Digital research spaces and resources to students,Institutional ethics review,Digital research spaces and resources to students2,Input Overall Input Score,Publications ,Overall Research Score,Completed atleast one international grant,Completed atleast one international grant3,Access to financial audits,Overall International/National Donors & Grants Score,number of collaborations,Faculty/institution directly advises Ministry of Health,Overall Collaboration Score,Input Overall Output Score,Input percentage of students or trainees who are awarded  religious and ethnic minority fellowships,Column4,Institution wide policies available,percentage that are female and that receive  fellowships,Percentage of female faculty,Gender ratio for students/trainees,Policies/outreaches to increase number of female students,Overall Equal Opportunity Score,"Number of grey articles published, in health sciences",Participation in national institution similar to national science committee,Participation in regional/international institutions to help design public health policies,Overall Policy Impact Score,Input Overall Impact Score,Overall Score
African Institute for Economical and Social Development,Ivory Coast,Academic and Research Institutions,No,No,No,Yes,3,1,0,0,0,2,2,3,10,5,1,0,0,1,0,0,1,1,3,4,307,0,1,1,1,5,44,1,5,10,0,0,1,0,0,0,0,1,20,1,1,1,2,16
Aga Khan University,Tanzania,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,3,3,11,125,1,0,1,4,1,1,1,1,5,9,208,0,1,1,1,5,10,1,2,7,0,0,1,0,0,0,1,2,208,1,1,5,7,23
Agha Khan University Centre of Excellence in Women and Child Health in East Africa,Kenya,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,23,1,1,1,5,1,0,1,1,5,2,5,0,1,1,0,4,21,0,4,8,0,0,0,0,0,0,1,1,1063,1,1,5,6,16
Ahfad University for Women,Sudan,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmadu Bello University,Nigeria,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,3,2,3,11,2,1,0,0,1,1,1,1,1,5,6,859,0,1,1,1,5,20,0,4,9,0,0,0,0,0,0,0,0,10250,1,1,5,5,20
Aljufra University,Libya,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,3,2,3,11,0,0,0,0,0,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American University of Nigeria,Nigeria,Academic and Research Institutions,No,No,Yes,No,2,0,1,0,0,2,3,3,10,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Amoud University,Somalia,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amref Health Africa,Kenya,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,2,3,11,3,0,0,0,1,1,0,1,0,4,0,182,0,1,0,1,5,7,0,2,7,0,0,0,0,0,0,0,1,99,0,0,3,4,11
Anna Medical College Mauritius,Mauritius,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,0,0,0,0,0,1,1,1,0,4,4,7,0,0,0,0,3,1,0,1,4,0,0,0,0,23,0,0,0,1600,1,1,5,5,13
Ardhi University,Tanzania,Academic and Research Institutions,No,No,Yes,Yes,2,0,1,0,0,3,3,2,10,0,0,0,0,0,0,1,0,0,3,3,9,0,0,0,0,1,1,0,0,1,0,0,0,0,0.28,0,0,1,21,1,0,0,1,5
Armauer Hansen Research Institute,Ethiopia,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,3,3,12,2,1,0,1,1,1,0,0,1,2,3,261,0,1,1,0,4,12,0,2,6,0,0,0,0,0,0,0,1,680,1,1,5,6,15
Ashesi University,Ghana,Academic and Research Institutions,No,Yes,No,Yes,3,1,0,0,0,1,3,3,10,23,0,0,0,1,0,0,0,0,1,2,8,0,1,1,1,5,3,0,1,6,0,0,1,0.1,0,0,1,2,300,0,0,3,2,10
Bugando medical Centre; Mwanza;,Tanzania,Other,Yes,No,No,No,3,1,0,0,0,2,3,2,10,0,1,0,0,0,1,1,0,1,1,1,36,0,1,1,1,5,1,1,2,7,0,0,0,0,0,0,0,0,60,1,1,2,2,10
CAP Research; Quatre Bornes;,Mauritius,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,3,9,0,2,5,0,0,0,0,0,0,0,0,5800,1,0,5,5,12
Cape Peninsula University of Technology,South Africa,Academic and Research Institutions,Yes,Yes,No,Yes,2,0,1,0,0,3,3,2,10,14018,1,0,0,4,1,1,1,1,5,9,369,0,1,1,1,5,47,0,4,9,0.5,1,1,0,0,0,1,4,27,1,0,3,7,25
Catholic University College of Ghana,Ghana,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,2,3,2,10,0,0,0,0,0,0,1,1,0,1,1,64,0,0,0,1,3,0,0,0,3,13,1,1,0,0,0,0,1,0,0,0,0,1,5
Center for Innovative Drug Development and Therapeutic Trials for Africa - Addis Ababa University; Addis Ababa; (CDT-Africa),Ethiopia,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,3,3,3,12,2,1,0,0,1,1,0,0,0,2,3,128,0,1,1,1,5,15,0,3,8,0,0,0,0,0,0,0,1,104,1,1,4,5,16
Center of Arab Women for Training and Research,Tunisia,Other,No,Yes,Yes,Yes,3,1,0,0,0,1,3,3,10,0,1,0,0,0,1,1,1,1,5,1,0,948,1,0,1,5,7,0,0,8,0,0,0,0,0,0,0,0,0,1,0,5,1,0
Central University,Ghana,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,0,0,0,0,0,3,1,1,1,5,5,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0.3,0,0,0,2,0,0,1,1,9
Centre D'oncologie Al Azhar; Quartier Hassan;,Morocco,Other,Yes,No,No,No,3,1,0,0,0,3,3,3,12,0,0,0,0,0,1,1,1,0,4,4,7,0,0,0,0,3,1,0,1,4,0,0,0,0,23,0,0,0,1600,1,1,5,5,13
Centre for Environmental Policy and Advocacy,Malawi,Other,No,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,3,0,0,0,1,1,1,1,0,4,5,0,0,1,1,0,4,8,0,2,6,0,0,1,0.02,0,0,0,1,0,0,0,0,1,12
Centre for Sexual Health and HIV/AIDS Research Zimbabwe; Harare; (CESHHAR),Zimbabwe,Academic and Research Institutions,No,No,No,No,3,1,0,0,0,3,1,3,10,20,0,0,0,4,0,0,0,0,1,5,6,0,1,0,1,5,10,0,2,7,0,0,0,0,0,1,1,4,28,0,0,1,5,17
Centre International de Développement Clinique; Ebene; (CIDC),Mauritius,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,7,0,0,1,1,6
Centre International de Recherches,Gabon,Research Counsils,No,No,No,No,2,0,1,0,0,3,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre National de Recherche et de Formation sur le Paludisme (CNRFP),Burkina Faso,Academic and Research Institutions,No,No,No,No,3,1,0,0,0,3,3,2,11,1,0,0,0,1,1,1,1,0,4,5,82,0,1,0,1,4,1,1,1,2,0,0,0,0,0,0,0,1,212,1,1,5,2,9
Centre Regional de Recherche et de Formation Ã la Prise en charge Clinique (CRCF),Senegal,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,2,2,3,10,0,1,0,0,0,1,0,0,0,2,2,15,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6
CERMES,Niger,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,2,2,10,10,0,0,0,3,1,1,1,1,5,8,57,0,0,0,0,3,17,1,3,6,0,0,0,0,0,0,0,1,6610,1,0,5,6,20
Clinical Research Unit of Nanoro - Institut de Recherche en Sciences de la Sante; Centre-Ouest; (IRSS- CRUN ),Burkina Faso,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,9,1,0,0,1,1,1,1,1,5,6,75,0,0,0,1,4,12,1,2,2,0,0,0,0,0,0,0,1,172,1,1,5,2,10
College Of Medicine and Allied Health Sciences,Sierra Leone,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,3,3,12,3,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13
"Commission for Science and Technology, COSTECH",Tanzania,Research Counsils,Yes,No,No,Yes,3,1,0,0,0,3,1,3,10,0,0,0,0,0,0,0,0,1,0,0,9,0,1,1,0,4,0,0,0,4,0,0,0,0,0,0,0,1,21,1,0,0,1,5
Copperbelt University,Zambia,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,3,3,2,11,3,1,0,0,2,1,1,1,1,5,7,124,0,1,1,1,5,4,0,2,7,0,1,1,0.52,0,0,1,5,4,1,1,1,6,20
Daeyang University,Malawi,Academic and Research Institutions,Yes,No,No,No,2,0,1,0,0,3,3,2,10,0,0,0,0,0,0,1,0,0,2,2,3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1750,1,1,5,6,9
Economic Policy Research Institute,South Africa,Academic and Research Institutions,No,No,No,Yes,3,1,0,0,0,3,2,2,10,0,0,0,0,0,1,1,0,0,3,3,118,0,1,1,0,5,44,1,5,10,0,0,1,0,0,0,0,0,24,1,1,1,1,14
Ethiopian Public Health Institute (EPHI),Ethiopia,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,3,3,12,3,1,0,0,1,1,1,1,1,5,6,40,0,1,1,0,4,39,0,4,8,0,0,1,0,0,0,1,1,1640,1,1,5,6,20
"Federal University of Technology, Akure",Nigeria,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,3,3,3,12,3,1,0,1,4,1,1,1,1,5,9,539,0,1,1,0,4,65,0,4,8,0,0,0,0,0,0,0,0,6400,1,1,5,5,21
"Federal University of Technology, Owerri",Nigeria,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,3,1,3,10,8,1,0,0,1,1,1,1,1,5,6,113,0,1,1,0,4,20,0,4,8,0,0,0,0,0,0,0,0,5400,1,1,5,5,19
Gambi College of Medical Science,Ethiopia,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,2,2,3,10,0,0,0,0,0,1,1,1,0,4,4,4,0,0,0,0,3,21,0,4,7,0,0,0,0,0,0,0,1,621,0,0,2,3,14
Ghana Academy of Arts and Sciences,Ghana,Research Counsils,No,Yes,Yes,Yes,3,1,0,0,0,2,2,3,10,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,1,3,1,0,0,3,0,1,1,0.1875,0.33,0,0,2,0,1,1,0,2,7
Great Lakes University of Kisumu,Kenya,Academic and Research Institutions,Yes,No,No,Yes,2,0,1,0,0,3,2,3,10,1,0,0,0,0,1,0,1,0,3,0,418,0,0,0,0,3,4,0,1,4,0,0,0,0,0,0,0,1,3210,0,1,5,6,10
Gulu University,Uganda,Academic and Research Institutions,Yes ,No,Yes,Yes,3,1,0,0,0,2,3,3,11,3,1,0,0,2,1,1,1,1,5,7,170,0,1,0,1,5,6,1,2,7,0,0,1,0.5,0,0,0,1,29,1,1,2,3,17
Hubert Kairuki Memorial University,Tanzania,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,3,2,10,4,1,0,0,1,1,1,1,1,5,6,29,0,1,1,1,5,1,1,2,7,0,0,0,0,0,0,1,2,30,1,0,2,4,17
Human Sciences Research Council,South Africa,Research Counsils,Yes,No,No,Yes,3,1,0,0,0,3,2,3,11,23,0,0,0,5,1,1,1,1,5,10,243,1,1,1,1,5,3,1,1,3,0.38,1,1,0,0,0,1,1,62,1,1,2,2,15
Ifakara Health Research and Development Center; Dar es Salaam;,Tanzania,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,1,3,10,0,0,0,0,0,1,1,1,1,5,5,1,0,1,0,1,5,19,0,3,8,0,0,1,0,0,0,0,0,32,1,1,1,1,14
IMANI Center for Policy & Education,Ghana,Research Counsils,No,No,No,No,2,0,1,0,0,3,3,3,11,14,0,0,0,3,0,0,0,0,1,4,0,0,1,0,0,5,5,0,2,7,0,0,0,0,0,0/100,0,0,0,0,0,0,0,11
INDEPTH Network,Ghana,Research Counsils,Yes,Yes,No,No,3,1,0,0,0,3,1,3,10,0,0,0,0,3,0,0,0,1,5,8,2647,2,0,0,1,5,0,0,5,12,0,0,0,0.13,0,0,1,2,2647,1,1,5,7,27
Institut de Rechererch en Science de la Sante; Boulkiemdé;,Burkina Faso,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,3,1,0,0,1,1,1,1,0,4,5,367,0,0,0,1,3,16,1,3,3,0,0,0,0,0,0,0,1,0,1,1,0,2,10
Institut National de Recherches Biomédicales National Reference Lab for Sleeping Sickness Kinshasa,Democratic Republic of Congo,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,2,2,10,2,1,0,0,2,1,1,1,1,5,7,10,0,1,1,1,5,40,1,5,10,0,0,0,0,0,0,0,0,5,1,1,1,1,18
Institut Pasteur,Senegal,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,2,3,10,0,1,0,0,0,1,1,1,1,5,5,837,0,1,1,1,5,10,1,2,7,0,0,0,0,0,0,0,0,57,1,0,2,2,14
Institut Pasteur d'Algérie,Algeria,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,2,2,10,0,1,0,1,1,1,1,1,0,4,5,143,0,1,0,1,4,6,1,1,5,0,0,1,0,0,0,0,0,5,1,0,1,1,11
Institut Pasteur de Dakar (IPD),Senegal,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,2,3,10,0,0,0,0,0,1,1,0,1,4,4,9,0,0,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,1,10
Institut Santé et Développement (ISED),Senegal,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,3,3,11,0,0,0,0,0,1,1,1,0,4,4,13,0,0,0,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Institut Supérieur de Développement Rural de Bukavu,Democratic Republic of Congo,Academic and Research Institutions,No,No,Yes,No,3,1,0,0,0,3,1,2,9,0,0,0,0,0,1,1,1,1,4,4,0,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,10
Institut Supérieur Pédagogique de la Gombe,Democratic Republic of Congo,Academic and Research Institutions,No,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,0,0,0,0,0,1,1,1,1,5,5,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,9
INSTITUT SUPERIEUR PEDAGOGIQUE DE LUBUMBASHI,Democratic Republic of Congo,Academic and Research Institutions,No,Yes,Yes,Yes,3,1,0,0,0,2,3,3,11,0,0,0,0,0,1,1,1,0,3,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Institute for Economic Justice,South Africa,Research Counsils,No,No,No,No,3,1,0,0,0,3,2,3,11,0,1,0,0,0,1,1,0,0,3,3,92,0,1,1,1,5,35,0,5,6,0,0,0,0,0,0,0,0,33,1,1,1,1,10
Institute for Global Dialogue,South Africa,Research Counsils,No,No,No,No,3,1,0,0,0,3,1,3,10,19,0,0,0,4,1,1,0,0,3,7,331,0,1,1,1,5,1,0,1,6,0,0,0,0,0,0,0,0,35,1,1,1,1,14
Institute for Health Policy and Research,Ghana,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,3,1,3,10,0,1,0,0,0,0,0,1,1,4,4,50496,5,1,1,1,5,5,1,2,5,0,1,1,0,0,22:01,1,0,50496,1,1,5,5,14
"Institute for Poverty, Land and Agrarian Studies",South Africa,Academic and Research Institutions,No,No,Yes,No,3,1,0,0,0,3,3,3,12,1,1,0,0,1,1,1,0,0,3,4,280,0,1,1,1,5,15,1,3,8,0,0,0,0,0,0,0,0,135,1,1,4,4,16
Institute for Public Policy Research,Namibia,Research Counsils,No,No,No,No,3,1,0,0,0,1,3,3,10,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,2,0,0,5,0,0,0,0.642857143,0,0,0,0,0,0,0,0,0,6
Institute for Security Studies,South Africa,Academic and Research Institutions,No,No,No,No,3,1,0,0,0,3,1,3,10,7,0,0,0,1,0,0,1,0,1,2,150,0,1,1,1,5,55,0,5,10,0,0,0,0,0,0,0,0,78,1,1,3,3,15
International Cancer Institute; Uasin Gishu;,Kenya,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,0,0,0,0,1,1,0,1,0,3,0,170,0,0,0,0,3,10,1,3,6,0,0,0,0,0,0,0,1,3430,0,0,4,5,11
International Institute for Primary Healthcare in Ethiopia (IIfPHC),Ethiopia,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,1,3,10,0,1,0,0,1,0,1,1,0,3,3,137,0,1,1,0,3,6,1,2,5,0,0,0,0,0,0,0,1,31,1,1,1,2,10
International Livestock Research Institute (ILRI),Ethiopia,Research Counsils,Yes,No,Yes,No,3,1,0,0,0,3,3,3,12,6,1,0,0,1,1,1,1,1,5,6,387,0,1,1,1,5,595,1,5,10,0,0,1,0,0,0,1,1,8200,1,1,5,6,22
International University of Management (IUM),Namibia,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,2,3,2,10,1,2,0,0,1,1,1,1,1,5,6,0,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Jimma University,Ethiopia,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,5,1,0,0,1,1,1,1,0,4,5,1337,1,1,0,0,3,100,1,5,9,0,0,1,0,0,0,1,1,15000,1,1,5,6,20
Kampala University,Uganda,Academic and Research Institutions,Yes,No,No,Yes,2,0,1,0,0,3,3,2,10,1,1,0,0,1,0,1,1,0,4,5,1,0,0,0,0,3,1,0,1,4,0,0,1,0,0,0,0,1,1,0,0,1,2,11
Kenya Medical Research Institute,Kenya,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,2,3,11,1,0,0,0,1,1,0,1,1,4,1,3323,2,1,1,0,4,92,1,5,11,0,0,0,0,22,0,0,2,"                            13, 576",1,1,5,7,19
Kenyatta University,Kenya,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,2,11,2,0,0,0,0,1,0,1,1,5,1,1167,1,0,0,0,3,10,0,2,6,0,0,0,0,0,0,0,1,1707,1,1,5,6,13
Kilimanjaro Christian Medical University College,Tanzania,Academic and Research Institutions,Yes,No,No,No,2,0,1,0,0,3,3,3,11,1,1,0,0,1,1,1,1,1,5,6,659,0,1,1,1,5,1,0,1,6,0,0,0,0.05,0,0,0,1,24,1,1,1,2,14
Kinshasa School of Public Health - Universite de Kinshasa; Kinshasa; (KSPH),Democratic Republic of Congo,Research Counsils,Yes,Yes,No,No,3,1,0,0,0,3,2,3,11,0,0,0,0,0,1,1,1,1,4,4,0,0,0,0,1,4,38,0,4,8,0,0,0,0,0,0,0,0,5,1,1,1,1,13
Knutsford University College,Ghana,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,3,3,12,2,0,0,0,1,1,1,1,0,4,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Komfo Anokye Teaching Hospital; Kumasi;,Ghana,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,3,1,3,10,0,1,0,0,0,1,1,0,1,4,1,459,0,0,1,1,4,0,1,1,5,0,0,1,0,0,0,0,1,459,1,1,5,6,12
Korle Bu Teaching Hospital; Accra;,Ghana,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,1,3,10,0,1,0,0,0,1,1,1,1,5,6,493,0,1,1,1,5,2,0,0,5,0,0,1,0,0,0,1,1,493,1,1,5,6,17
Kwame Nkrumah University of Science & Technology,Ghana,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,0,0,0,0,0,1,1,1,0,4,4,66,0,1,0,1,5,13,1,5,10,0,0,1,0,0.4,0,1,1,158,1,0,5,6,20
Lilongwe University of Agriculture & Natural Resources LUANAR,Malawi,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,0,0,0,0,0,1,1,1,0,4,4,0,0,1,1,1,5,8,0,2,7,0,0,1,0.13,0,0,0,2,290,1,0,5,7,18
Makerere University,Uganda,Academic and Research Institutions,Yes ,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,10,1,1,1,5,1,1,1,1,5,10,2561,2,1,1,1,5,14,1,2,9,0,1,1,0.3,0.4,0,1,4,500,1,1,5,9,28
Malaria Research Center; Ashanti,Ghana,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,1,3,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mandela Institute for Development Studies,South Africa,Academic and Research Institutions,No,No,No,Yes,3,1,0,0,0,3,3,2,11,2,1,0,0,1,1,0,1,0,3,4,11,0,1,1,0,5,15,0,3,9,0,0,0,0,0,0,0,0,11,1,1,1,1,14
Mauritius Institute of Health,Mauritius,Other,Yes,No,No,No,3,1,0,0,0,2,3,2,10,0,0,0,0,0,0,1,1,1,4,0,234,0,0,1,1,4,20,1,4,8,0,0,0,0,0,0,0,0,100,1,0,4,4,16
Medical Research Council,South Africa,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,2,11,100,1,0,1,5,1,1,1,1,5,0,115,1,1,1,1,5,13,1,2,0,0,0,0,0,0,0,0,0,90,1,1,1,0,0
Medical Research Council Uganda Virus Research Institute Research Unit on AIDS; Entebbe;,Uganda,Research Counsils,Yes,No,No,No,2,0,1,0,0,2,3,3,10,3,1,0,0,3,1,1,1,1,5,8,156,0,1,1,1,5,9,1,2,7,0,0,1,0,0.5,0,0,2,536,1,1,5,7,22
MERQ Consultancy,Ethiopia,Research Counsils,Yes,Yes,No,No,3,1,0,0,0,3,1,3,10,1,0,0,0,1,0,0,1,0,2,3,7,0,1,1,0,3,12,1,1,4,0,0,0,0,0,0,0,1,51,1,1,2,3,10
Midlands State University,Zimbabwe,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,2,3,2,10,23,0,0,0,4,1,1,1,0,4,8,20,0,0,0,0,3,21,0,4,7,0,0,1,0,0,0.3265,0,4,161,1,0,5,9,24
Muhimbili University of Health and Allied Sciences,Tanzania,Academic and Research Institutions,Yes,No,No,No,2,0,1,0,0,3,3,3,11,1,0,0,0,1,1,1,0,0,3,4,1493,1,1,1,1,5,1,1,2,8,0,0,0,0,0,0,0,1,95,1,1,3,4,16
Mzuzu University,Malawi,Academic and Research Institutions,Yes,Yes,Yes,No,2,0,1,0,0,2,3,3,10,2,1,0,0,3,1,1,1,1,5,8,130,0,1,1,1,5,17,1,3,8,0,0,1,0,0,0,0,1,150,1,1,5,6,22
Namibia University of Science and Technology (Polytechnic of Namibia),Namibia,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,3,12,1,0,0,0,1,1,1,1,0,4,5,162,0,1,1,1,5,1,0,1,6,0,1,1,0,0,0,0,1,2,1,0,1,2,13
National Centre for Research,Sudan,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,3,1,10,0,0,0,0,0,1,0,0,1,1,1,49267,1,0,0,0,3,8,1,3,7,0,0,0,0,0,0,0,1,33900,1,0,5,6,14
National Institute for Medical Research (NIMR),Tanzania,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,1,3,10,0,1,0,0,0,1,0,0,1,5,5,67,0,0,0,1,5,0,1,0,5,0,0,0,0,0,0,0,0,2268,1,1,5,5,15
National Institute for Pharmaceutical Research and Development (NIPRD),Nigeria,Research Counsils,Yes,No,No,No,3,1,0,0,0,2,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National University of Lesotho,Lesotho,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,1,0,0,0,1,1,1,1,1,5,5,113,0,0,1,0,4,13,1,2,6,0,0,1,0,0,0,0,1,13000,1,0,5,6,17
Navrongo Health Research Centre; Navrongo;,Ghana,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,1,3,10,4,0,0,0,1,0,0,0,0,1,2,6,0,0,0,1,3,6,0,1,2,0,0,0,0.14,0.16,0.138888889,0,2,13,0,0,1,3,7
Neelain University,Sudan,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,1,10,0,0,0,0,0,0,0,1,0,4,4,143,0,1,0,0,3,5,0,2,5,0,0,0,0,10,0,0,1,34,0,0,2,3,12
Nelson Mandela African Institute of Science & Technology,Tanzania,Academic and Research Institutions,Yes,No,Yes,Yes,2,0,1,0,0,3,3,3,11,0,0,0,0,0,1,1,1,0,4,4,338,0,1,1,1,5,1,0,1,6,0,0,0,0,0,0,0,1,13,1,0,1,2,12
Nelson Mandela University,South Africa,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,3,2,11,1994,1,0,0,5,1,1,1,1,5,10,5,0,1,1,1,5,86,1,5,10,0,0,1,0,0,0,1,1,10,1,1,1,2,22
Nigerian Institute of Medical Research,Nigeria,Research Counsils,Yes,No,No,No,3,1,0,0,0,2,3,3,11,26,1,0,0,4,1,1,1,1,5,9,426,0,1,1,0,4,45,1,5,9,0,0,0,0,0,0,0,0,17360,1,1,5,5,23
Nile University Sudan,Sudan,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,3,2,2,10,0,0,0,0,0,0,0,1,0,4,4,3207,2,0,0,0,3,2,0,2,7,0,0,0,0,10,0,0,1,769,0,0,5,6,17
Nnamdi Azikiwe University,Nigeria,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,3,2,2,10,22,0,0,0,5,0,1,1,1,5,10,9,0,1,1,1,5,3,0,1,12,0,0,0,0,0,0,0,0,14,0,0,1,1,22
