Institution name,Region,Institution type,Medical Dep,Sociology,Agri Dep,Business dep,Collaboration with in-country decision makers, current relationship/partnership with government,past relationship/partnership with government or current relationship with other major research instititions,"no govt collaboration, no current partnerships with other major research institutions ",information is not readily available online,Existing public health research capacity,Strength of capacity building efforts (especially for women),Adminstrative capacity to manage large grants,Total Score of 4 Criteria,Number of awards ,National centers for excellence,PI awards form top WHO list,African union award ,Overall award score,Specialized research lab,Specific library to students,Digital research spaces and resources to students,Institutional ethics review,Digital research spaces and resources to students2,Input Overall Input Score,Publications ,Overall Research Score,Completed atleast one international grant,Completed atleast one international grant3,Access to financial audits,Overall International/National Donors & Grants Score,number of collaborations,Faculty/institution directly advises Ministry of Health,Overall Collaboration Score,Input Overall Output Score,Input percentage of students or trainees who are awarded  religious and ethnic minority fellowships,Column4,Institution wide policies available,percentage that are female and that receive  fellowships,Percentage of female faculty,Gender ratio for students/trainees,Policies/outreaches to increase number of female students,Overall Equal Opportunity Score,"Number of grey articles published, in health sciences",Participation in national institution similar to national science committee,Participation in regional/international institutions to help design public health policies,Overall Policy Impact Score,Input Overall Impact Score,Overall Score
Université d'Antananarivo,Madagascar,Academic and Research Institutions,No,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,0,1,0,0,0,1,1,1,1,5,5,256,0,1,1,1,5,2,1,1,6,0,0,0,0,0,0,0,0,2,0,0,1,1,12
Université d'Antsiranana,Madagascar,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,0,1,0,0,0,0,1,0,0,3,3,8,0,0,0,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Université de Mahajanga,Madagascar,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,0,1,0,0,0,1,1,1,1,4,4,42,0,1,0,1,4,1,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,9
Université de Monastir,Tunisia,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,2,2,3,10,2,1,0,0,1,1,1,1,1,5,1,0,2,1,1,0,1,14,1,0,14,0,0,0,0,0,0,0,0,681,1,0,5,1,0
Université de Nouakchott Al Aasriya,Mauritiana,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,3,3,3,12,0,1,0,0,1,1,1,0,1,4,5,25,0,1,1,0,4,20,0,4,8,0,0,0,0,0,0,0,0,67,0,0,2,2,15
Université de Yaounde I,Cameroon,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,1,10,1,1,0,0,1,1,1,1,0,4,5,1,0,0,1,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Université du Burundi,Burundi,Academic and Research Institutions,Yes,No,Yes,Yes,0,0,0,0,1,3,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Université Hassan I Settat,Morocco,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,2,2,3,10,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,3,9,0,2,5,0,0,0,0,0,0,0,0,5800,1,0,5,5,12
Université Internationale Abulcasis des Sciences de la Santé,Morocco,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,2,3,10,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,7,0,0,1,1,6
Université Kasdi Merbah Ouargla,Algeria,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,3,2,11,1,0,0,0,1,1,1,1,0,4,5,17,0,1,0,0,3,22,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Université Mahmoud el Materi Université Privée des Sciences Paramédicales en Tunisie,Tunisia,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,2,3,10,0,1,0,0,0,1,1,1,1,5,1,0,0,0,0,0,0,0,1,part of the ministry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Université Mohammed VI des Sciences de la Santé,Morocco,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,2,2,3,10,0,0,0,0,0,0,1,1,1,4,0,234,0,0,1,1,4,20,1,4,8,0,0,0,0,0,0,0,0,100,1,0,4,4,16
Université Moulay Ismail Meknès,Morocco,Academic and Research Institutions,No,Yes,No,Yes,3,1,0,0,0,2,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Université Ouaga I Joseph Ki-Zerbo,Burkina Faso,Academic and Research Institutions,Yes,No,Yes,No,3,1,0,0,0,3,3,3,12,8,1,0,0,1,1,1,1,1,5,6,101,0,0,0,1,4,2,0,1,1,0,0,1,0,0,0,0,1,34,1,0,2,1,8
Universiteit Stellenbosch,South Africa,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,2,3,11,90,1,0,1,5,1,1,1,1,5,10,118,0,1,1,1,5,298,1,5,10,0,0,1,0,0,0,0,1,37,1,1,5,6,26
University for Development Studies,Ghana,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,0,1,0,0,0,1,1,1,0,4,4,27,0,0,0,0,3,1,0,1,4,0,0,0,0,0,0,1,1,14,0,0,1,2,10
University of Agriculture Abeokuta,Nigeria,Academic and Research Institutions,No,No,Yes,Yes,2,0,1,0,0,3,3,2,10,120,0,0,0,5,0,1,1,0,3,8,0,0,0,0,0,3,8,0,2,5,0,0,0,0,0,0,0,0,2,0,1,1,1,13
University of Benghazi (University of Garyounis),Libya,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,2,2,3,10,1,0,0,0,1,1,1,1,1,5,1,0,0,1,1,0,5,1,1,0,5,0,0,0,0,0,0,0,0,28,1,0,1,1,0
University of Botswana,Botswana,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,2,3,3,11,7,0,0,0,1,1,1,1,1,5,1,1336,1,1,1,0,4,17,0,3,8,0,0,0,0,36,29,0,1,5540,1,1,5,6,15
University of Cape Coast,Ghana,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,0,0,0,0,0,2,1,1,1,5,5,1183,1,0,0,0,0,33,0,5,6,0,0,1,0,0,0,1,1,1183,1,1,5,6,17
University of Cape Town,South Africa,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,3,3,3,12,201,1,0,0,4,1,1,1,1,5,9,12371,5,1,1,1,5,57,1,5,15,0.0589,1,1,0,0,0,0,3,157,1,1,5,8,32
University of Dar Es Salaam,Tanzania,Academic and Research Institutions,Yes,No,Yes,Yes,2,0,1,0,0,3,3,3,11,0,0,0,0,0,1,1,1,0,4,4,2941,2,1,1,1,5,1,0,1,8,0,0,0,0,0.1,0,0,1,23,1,1,1,2,14
University of Fort Hare,South Africa,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,2,11,31,1,0,1,5,1,1,1,1,5,10,638,0,1,1,1,5,112,1,5,10,0.01,1,1,0,0,0,1,1,751,1,1,5,6,26
University of Ghana,Ghana,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,2,1,0,0,5,1,1,1,1,5,10,283,0,1,1,0,4,8,1,2,6,0,0,1,0,0,0,1,1,5200,0,0,5,6,22
University of Gondar,Ethiopia,Academic and Research Institutions,Yes,Yes,Yes,Yes,2,0,1,0,0,3,2,3,10,4,1,0,0,1,1,1,1,1,5,6,2269,2,1,1,0,4,74,0,4,10,0,0,1,0,0,0,0,1,15060,1,0,5,6,22
University of Health and Allied Sciences,Ghana,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,0,0,0,0,0,1,1,1,0,4,4,75,0,1,0,1,5,1,1,1,6,0,0,0,0,0.473684211,0,0,1,257,0,0,3,4,14
University of Ibadan,Nigeria,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,3,3,3,12,31,1,0,1,4,1,1,1,1,5,9,3277,2,1,1,0,4,41,0,4,10,0,0,0,0,0,0,0,0,14000,1,0,5,5,24
University of Johannesburg,South Africa,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,2,11,40,1,0,1,5,1,1,1,1,5,10,11434,5,1,1,1,5,12,1,5,15,0.0587,1,1,0.037,0,0,1,5,327,1,1,5,10,35
University of Jos,Nigeria,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,3,3,3,12,2,1,0,0,1,1,1,1,0,4,5,1842,1,1,1,0,4,10,0,2,7,0,0,1,0,0,0,1,1,14000,1,1,5,6,18
"University of Juba, 1977",South Sudan,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Khartoum,Sudan,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,3,2,3,11,0,1,1,0,1,1,0,1,1,5,6,2175,2,1,1,0,4,4,0,2,8,1.5,1,1,20,25,0.59,0,1,210,1,0,5,6,20
University of Kwazulu Natal,South Africa,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,75,1,1,0,5,1,1,1,1,5,10,6884,4,1,1,1,5,56,1,5,14,0.048,1,1,0.0538,0,0,1,2,79,1,1,3,5,29
University of Lagos,Nigeria,Academic and Research Institutions,Yes,Yes,Yes,No,3,1,0,0,0,2,2,3,10,120,1,0,0,4,1,1,1,1,5,9,2828,2,1,1,0,4,21,0,4,10,0,0,0,0,0,0,0,0,14890,1,1,5,5,24
University of Liberia,Liberia,Academic and Research Institutions,No,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,0,0,0,0,0,1,0,1,0,3,3,418,0,0,0,0,3,4,0,1,4,0,0,0,0,0,0,0,1,3210,0,1,5,6,13
University of Limpopo,South Africa,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,2,11,103,1,1,0,5,1,1,1,1,5,10,921,0,1,1,1,5,43,1,5,10,0,0,1,0,0,0,1,2,40,1,1,2,4,24
University of Medical Sciences,Nigeria,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,2,0,0,0,1,1,1,1,1,5,6,265,0,1,1,0,4,5,0,2,6,0,0,0,0,0,0,0,0,5700,1,1,5,5,17
University of Medical Sciences & Technology,Sudan,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,3,1,10,6,0,0,0,6,1,1,1,0,4,10,440,0,0,1,0,4,6,1,2,6,0,0,0,0,10,0,0,1,2159,1,1,5,6,22
